unix,date,symbol,open,high,low,close,Volume BTC,volume
1651532400,2022-05-02 23:00:00,BTC/USDT,38503.37,38503.37,38503.37,38503.37,0.39000000,15016.314300000002
1651528800,2022-05-02 22:00:00,BTC/USDT,38796.54,38796.54,38796.54,38796.54,0.05415690,2101.100337126
1651525200,2022-05-02 21:00:00,BTC/USDT,38471.31,38683.10,38471.31,38683.10,0.08704887,3367.320143097
1651521600,2022-05-02 20:00:00,BTC/USDT,38417.90,38417.90,38417.90,38417.90,0.01577389,605.9997286309999
1651518000,2022-05-02 19:00:00,BTC/USDT,38474.25,38477.87,38367.46,38437.71,0.75645218,29076.2895237078
1651514400,2022-05-02 18:00:00,BTC/USDT,38151.65,38151.65,38094.85,38094.85,0.44072452,16789.334480722
1651510800,2022-05-02 17:00:00,BTC/USDT,38434.82,38512.77,38434.82,38503.80,0.28811249,11093.425692462
1651507200,2022-05-02 16:00:00,BTC/USDT,38677.44,38767.97,38677.44,38712.17,0.26977573,10443.6039216341
1651503600,2022-05-02 15:00:00,BTC/USDT,38743.05,38773.54,38743.05,38773.54,0.14773641,5728.263602591401
1651500000,2022-05-02 14:00:00,BTC/USDT,38858.29,38858.29,38858.29,38858.29,0.00000000,0.0
1651496400,2022-05-02 13:00:00,BTC/USDT,38687.27,38899.67,38250.00,38858.29,1.32860038,51627.1388601502
1651492800,2022-05-02 12:00:00,BTC/USDT,38652.26,38652.26,38652.26,38652.26,0.00000000,0.0
1651489200,2022-05-02 11:00:00,BTC/USDT,38644.34,38652.26,38644.34,38652.26,0.02362292,913.0792457992
1651485600,2022-05-02 10:00:00,BTC/USDT,38784.80,38784.80,38709.99,38742.09,0.09845351,3814.2947452358994
1651482000,2022-05-02 09:00:00,BTC/USDT,38994.90,38994.90,38835.00,38835.00,0.03784468,1469.6981478
1651478400,2022-05-02 08:00:00,BTC/USDT,38837.47,38851.17,38837.47,38851.17,0.10287287,3996.7313607579
1651474800,2022-05-02 07:00:00,BTC/USDT,39000.28,39003.39,38977.71,38977.71,0.01409879,549.5385479709
1651471200,2022-05-02 06:00:00,BTC/USDT,38912.84,38912.84,38912.84,38912.84,0.00000000,0.0
1651467600,2022-05-02 05:00:00,BTC/USDT,38871.48,38912.84,38871.48,38912.84,0.03930161,1529.3372616723998
1651464000,2022-05-02 04:00:00,BTC/USDT,38733.72,39075.32,38733.72,39046.40,0.55750810,21768.684275839998
1651460400,2022-05-02 03:00:00,BTC/USDT,38544.60,38544.60,38544.60,38544.60,0.00000000,0.0
1651456800,2022-05-02 02:00:00,BTC/USDT,38483.35,38544.60,38483.35,38544.60,0.45423844,17508.438974424
1651453200,2022-05-02 01:00:00,BTC/USDT,38782.63,38782.63,38782.63,38782.63,0.00000000,0.0
1651449600,2022-05-02 00:00:00,BTC/USDT,38594.68,38795.22,38594.68,38782.63,1.64582354,63829.365397110196
1651446000,2022-05-01 23:00:00,BTC/USDT,38492.48,38492.48,38487.66,38487.66,0.01327464,510.90983094240005
1651442400,2022-05-01 22:00:00,BTC/USDT,38500.00,38537.64,38354.57,38376.21,0.23701329,9095.6717898309
1651438800,2022-05-01 21:00:00,BTC/USDT,38183.60,38343.40,38183.60,38343.40,0.67306918,25807.760796412003
1651435200,2022-05-01 20:00:00,BTC/USDT,37836.46,38124.55,37836.46,38124.55,0.39715563,15141.379673716501
1651431600,2022-05-01 19:00:00,BTC/USDT,37817.45,37838.82,37750.00,37773.76,0.02810560,1061.6541890560002
1651428000,2022-05-01 18:00:00,BTC/USDT,38340.28,38340.28,37935.29,37977.93,0.25600613,9722.5828847109
1651424400,2022-05-01 17:00:00,BTC/USDT,38411.69,38532.61,38411.69,38532.61,0.40666826,15669.989461958601
1651420800,2022-05-01 16:00:00,BTC/USDT,38563.63,38604.39,38563.63,38604.39,0.11476285,4430.3498189115
1651417200,2022-05-01 15:00:00,BTC/USDT,38021.23,38562.74,38021.23,38562.74,0.30018775,11576.062154434998
