Date,Open,High,Low,Close,Volume
2023-03-23 05:00:00,27362.0,27773.0,27355.0,27714.0,3402317.03
2023-03-23 06:00:00,27714.0,27771.0,27638.0,27727.0,2023635.59
2023-03-23 07:00:00,27734.0,27758.0,27633.0,27724.0,933328.86
2023-03-23 08:00:00,27717.0,27810.0,27651.0,27712.0,2256617.1
2023-03-23 09:00:00,27725.0,27732.0,27670.0,27723.0,1826471.88
2023-03-23 10:00:00,27717.0,27717.0,27714.0,27714.0,28796.83
2023-03-23 11:00:00,27638.0,27720.0,27617.0,27680.0,488238.82
2023-03-23 12:00:00,27667.0,27733.0,27537.0,27554.0,3870121.88
2023-03-23 13:00:00,27554.0,27578.0,27369.0,27439.0,6459854.72
2023-03-23 14:00:00,27440.0,28149.0,27368.0,28117.0,8124048.13
2023-03-23 15:00:00,28109.0,28818.0,28039.0,28650.0,18287708.45
2023-03-23 16:00:00,28649.0,28719.0,28430.0,28515.0,3939553.4
2023-03-23 17:00:00,28522.0,28560.0,28213.0,28348.0,3533164.38
2023-03-23 18:00:00,28355.0,28435.0,27860.0,27947.0,6625934.67
2023-03-23 19:00:00,27971.0,28499.0,27828.0,28405.0,6857773.96
2023-03-23 20:00:00,28425.0,28425.0,28152.0,28335.0,3598535.2
2023-03-23 21:00:00,28334.0,28337.0,28041.0,28209.0,2405364.11
2023-03-23 22:00:00,28215.0,28319.0,28148.0,28276.0,1720902.1
2023-03-23 23:00:00,28243.0,28488.0,28243.0,28343.0,3527845.54
2023-03-24 00:00:00,28352.0,28428.0,28239.0,28250.0,1316701.13
2023-03-24 01:00:00,28248.0,28364.0,28213.0,28300.0,1085868.3
2023-03-24 02:00:00,28300.0,28357.0,28186.0,28227.0,2001950.64
2023-03-24 03:00:00,28230.0,28285.0,28210.0,28265.0,457676.01
2023-03-24 04:00:00,28263.0,28294.0,28149.0,28177.0,773489.82
2023-03-24 05:00:00,28177.0,28342.0,28177.0,28322.0,825035.23
2023-03-24 06:00:00,28322.0,28366.0,28278.0,28295.0,746329.89
2023-03-24 07:00:00,28293.0,28362.0,28193.0,28320.0,2195635.9
2023-03-24 08:00:00,28321.0,28338.0,27984.0,28077.0,2714367.14
2023-03-24 09:00:00,28077.0,28228.0,28045.0,28091.0,2978293.67
2023-03-24 10:00:00,28084.0,28131.0,27987.0,28078.0,1424488.94
2023-03-24 11:00:00,28070.0,28156.0,27460.0,27650.0,6318257.17
2023-03-24 12:00:00,27627.0,28161.0,27600.0,28008.0,6181290.66
2023-03-24 13:00:00,28007.0,28023.0,27706.0,28011.0,5867652.87
2023-03-24 14:00:00,28008.0,29380.0,27859.0,28036.0,13468624.85
2023-03-24 15:00:00,28036.0,28113.0,27905.0,28060.0,3254407.88
2023-03-24 16:00:00,28063.0,28094.0,27860.0,27860.0,3056021.77
2023-03-24 17:00:00,27861.0,27925.0,27574.0,27658.0,5750401.28
2023-03-24 18:00:00,27654.0,27840.0,27609.0,27772.0,1481479.05
2023-03-24 19:00:00,27780.0,27913.0,27724.0,27855.0,1055586.41
2023-03-24 20:00:00,27852.0,27893.0,27524.0,27620.0,3110538.7
2023-03-24 21:00:00,27620.0,27653.0,27043.0,27382.0,8002640.65
2023-03-24 22:00:00,27365.0,27471.0,27320.0,27332.0,2533380.43
2023-03-24 23:00:00,27325.0,27546.0,27321.0,27493.0,1153525.95
2023-03-25 00:00:00,27497.0,27614.0,27462.0,27593.0,1508919.79
2023-03-25 01:00:00,27602.0,27612.0,27462.0,27532.0,528654.41
2023-03-25 02:00:00,27534.0,27691.0,27497.0,27640.0,1104597.36
2023-03-25 03:00:00,27635.0,27683.0,27592.0,27618.0,493379.29
2023-03-25 04:00:00,27625.0,27662.0,27530.0,27571.0,827988.45
2023-03-25 05:00:00,27567.0,27583.0,27422.0,27491.0,1287665.34
